PR,Requisition Date,RFQ ID,RFQ Date,PO,PO Date,Fund Code,Project Name,Project ID,Requested BY,Buyer Name,Description,Qty,Unit of Measurment,Currency,Amount,Vendor Name,Invoice Number,System GRN Number,GRN Number,Doc. Received Date,Voucher ID,Cheque Number,Net Pay to Vendor,On hand status,Progress,location
5938,24/05/2019,,24/05/2019,5547,21/06/2019,US1L8,WASH,AECOET0001,Abigel A,MMENGISTU,Construction of small scale irrigation in Afar region,1,,ETB,3139696,BEREKET TESHOME WATER WORKS GENERAL CONT,BTWWC/601/19,5745,7975,25/11/2019,90391,4474500,928257.8,"Ready to process/Final Bid document submitted on May 29, 2019 and ready to distribute/Bid document distributed to selected vendors on June 3, 2019 and closing will be on June 7, 2019/Technical document opened on June 10, 2019 and technical result returned on June 11, 2019. Financial document opened on June 13, 2019 and arithmetic comparison shared via flash to requesting unit on June 14, 2019/There was a discussion about contract term (Confirmed and Provisional) and Minute signed on June 17, 2019 and SBA Signed on June 20, 2019. Draft contract agreement shared. Before issuing award letter and preparation of PO committee decide to discuss with the least bidder and the highest total ranked vendor and quick meeting arranged for June 21, 2019/Award letter issued to vendor on June 21, 2019 and Final contract agreement received on June 28, 2019 from requesting unit and it?s under signing/PO and contract signed on July 2, 2019 and 20% advance payment requested on July 8, 2019/First interim payment communicated to Finance on Oct 2, 2019/Contract duration ended on Sep 30, 2019 and reminder email about the status of the work communicated to requesting unit on Oct 1 and again Oct 11, 2019/Waiting for detail work schedule with time extension from vendor side starting from Oct 22, 2019/80% payment requested received on Nov 13, 2019 and waiting for GRN/Document communicated to Finance for 80% second interim payment",Completed,Procurement
5931,21/05/2019,1590,21/05/2019,5504,07/06/2019,CA351,GROW,CCANET0039 CCANET0041 CCANET0040,Ephrata F,MMENGISTU,"Hall rent for a training from June 11-15,2019 including 2 times refreshment, 2 times water,Lunch.",5,,ETB,146930,LEXUS ADDIS HOTEL,,,,0000-00-00,,,0,"Under quotation collection/Waiting for PO approval and reservation letter issued on June 7, 2019/PO signed June 10, 2019 and under service delivery/Service delivered and payment request received on June 20, 2019 and waiting for amended PO approval as per confirmation to transfer document for GRN/Ready for GRN starting from July 8, 2019/GRN received on July 11, 2019 and since then waiting for attendance sheet from requesting unit/Reminder email shared to the requesting unit on July 24, 2019/Attendance sheet received on August 9, 2019 and Document communicated to Finance on August 7, 2019",Completed,Finance
5940,27/05/2019,,27/05/2019,5484,27/05/2019,US1UH,DFSA,WVIXET0006,Mekdes L,MMENGISTU,Commodity Transportation to EH,102.27,,ETB,72904,FIKADU ABEBE LOCAL LEVEL4 DRY FRIGHT PRI,,,,0000-00-00,,,0,"PO signed by CARE side on May 30, 2019/PO signed both side June 3, 2019/Waiting for GRN starting from July 26, 2019/GRN received on July 30, 2019 and waiting for payment letter amendment from vendor side/Document communicated to Finance on August 7, 2019",Completed,Finance
5941,27/05/2019,1589,27/05/2019,5493,31/05/2019,US1UH,DFSA,WVIXET0006,Mekdes L,MMENGISTU,Commodity Transportation to EH,163.55,,ETB,163550,BIRHAN CROSS BORDER LEVEL-2 FREIGHT TRAN,,,,0000-00-00,,,0,"Ready to process/PO signed both side/Under service delivery/Waiting for payment request/Document communicated to Finance on July 23, 2019",Completed,Finance
5943,27/05/2019,Required Vendor,27/05/2019,5488,27/05/2019,US1UH,DFSA,WVIXET0006,Mekdes L,MMENGISTU,Commodity Transportation to EH,34.97,,ETB,20387,AWEL ANSHA,,,,0000-00-00,,,0,"PO signed by CARE side on May 30, 2019/PO signed both side June 3, 2019/Document communicated to Finance on August 16, 2019",Completed,Finance
5959,07/06/2019,Required Vendor,07/06/2019,5507,07/06/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,172.9,,ETB,162447,FIKADU ABEBE LOCAL LEVEL4 DRY FRIGHT PRI,,,,0000-00-00,,,0,"Ready to process/PO signed both side/Under service delivery/Waiting for payment request/PO canceled by email communication date on Nov 4, 2019",Cancelled,Procurement
5959,07/06/2019,Required Vendor,07/06/2019,5509,07/06/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,1091.46,,ETB,493123,BIRHAN CROSS BORDER LEVEL-2 FREIGHT TRAN,,,,0000-00-00,,,0,"Ready to process/PO signed both side/Document communicated to Finance on August 7, 2019",Completed,Finance
5960,07/06/2019,Required Vendor,07/06/2019,5512,07/06/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,"Ready to process/PO signed both side/Ready for GRN starting from August 1, 2019",326.67,,ETB,268107,FIKADU ABEBE LOCAL LEVEL4 DRY FRIGHT PRI,,,,0000-00-00,,,0,"Ready to process/PO signed both side/Ready for GRN starting from August 1, 2019/Document communicated to Finance on August 7, 2019",Completed,Finance
5960,07/06/2019,Required Vendor,07/06/2019,5515,07/06/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. EHFO,76.28,,ETB,67126,BIRHAN CROSS BORDER LEVEL-2 FREIGHT TRAN,,,,0000-00-00,,,0,"Ready to process/PO signed both side/Document communicated to Finance on August 7, 2019",Completed,Finance
6004,01/07/2019,,01/07/2019,5560,01/07/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,172.89,,ETB,68464,BIRHAN CROSS BORDER LEVEL-2 FREIGHT TRAN,,5568,7229,0000-00-00,,,0,"PO signed both side/Under service delivery/Waiting for payment request/Waiting for PR amendment approval on August 23, 2019/Document communicated to Finance on Sep 2, 2019",Completed,Finance
6018,09/07/2019,,09/07/2019,5603,29/07/2019,US1L8,WASH,AECOET0001,Abigel A,MMENGISTU,supply and transport of Gabion bags to Garsat Small Scheme irrigation construction project site with specification,100,,ETB,227000,FIKIREDENGELE MOLA ABEBE,,5601,3125,0000-00-00,,,0,"REQ ready to dispatch/Under quotation collection with a closing date July 19, 2019/After financial proposal opening requesting unit reviewed and noticed that the second vendor is not include transportation cost on their quotation and waiting for a new quotation. Once the vendor submit transportation cost on July 25, 2019 again they requested the first vendor to submit separate price of Gabion and transportation cost and waiting for a new quotation/PO signed both side on August 1, 2019 and waiting for physical inspection Report/Partially delivered and waiting the status of the remaining Gabion Bags/Delivery confirmed on Sep 4, 2019 and waiting for GRN starting from Aug 6, 2019/GRN issued and received on Sep 11, 2019/ Document to be communicated to finance on Sep 13, 2019",Completed,Finance
6022,11/07/2019,1612,11/07/2019,5620,01/08/2019,US1L8,WASH,AECOET0001,Abigel A,MMENGISTU,Fiber glass Purchase,4,,ETB,160770,MULUGETA METAFERIA BUILDING MATERIALS,,5548,7210,0000-00-00,,,0,"RFQ ready to dispatch/Under quotation collection with a closing date July 18, 2019/Under physical inspection after financial proposal opening/Waiting for system PO approval/Document communicated to Finance on Aug 22, 2019",Completed,Finance
5736,08/02/2019,,08/02/2019,0000005440 replacement for PO# 5332,08/05/2019,US1T0,GRAD2,USLMET0023,Siele Wondiyfraw,DGETACHEW,Graphic designer to work on images and minor formatting of PACE modules on Microsoft word. The designer will adapt 54 images to different cultures by changing clothing and hair styles and inserting the images back on the existing files.,1,,ETB,36879,ORION FANTAHUN YIMER,,,,0000-00-00,,,0,1. Under performa collection/ 2. performa collected and scheduled for opening on 4/3/18/3. PO issued/After trying the work central printing declined their offer to do the work/under communication with the next least bidder./4. perform collected and will be opened on 22/4/19/ 5. The next least bidder is under vendor setup process/ 6. PO signed/Under design/Waiting delivery 19/7/19/ 7. The Amharic version delivered and waiting for the Tigrigna./8. all work received and under review 20/8/19. Waiting for payment request/ 9.Document forwarded to finance 29/8/19,Completed,Finance
5827,24/07/2019,,24/07/2019,'0000005402,15/04/2019,US1T0,GRAD2,USLMET0023,Siele Wondiyfraw,DGETACHEW,Consultant for midterm evaluation as per the SOW attached.(Getaneh Gobeze),1,,ETB,254740,GETANEH GOBEZIE WORKNEH,,,,0000-00-00,,,0,1. Under vendor set up and contract preparation Contract under review and will be signed by next week./ 2. Contract is ready and PO is also ready for signing/Vendor signed contract on 24/4/19/Contract signed by both side 2/5/19/ 3. Waiting for payment request/Payment request Submitted 24/7/19 and sent for approval/ 4. Waiting GRN 31/7/19 5. Document forwarded to finance on 7/8/19,Ongoing,Finance
6017,01/01/1970,,01/01/1970,5619,01/08/2019,GB752,STM,CGBRET0055,Abigel A,MMENGISTU,Laptop Purchase,9,,ETB,445033,TODAY COMPUTER TECHNOLOGY PLC,3512,5683,7897,0000-00-00,89365,4474286,437293.73,"Ready to process/The process was pended to process as per requesting unit communication on email dated on July 12, 2019 and get approval from donor to process the purchase on July 16, 2019. Hence waiting for RFQ approval/Document is under review by IT technical person starting from July 25, 2019/Under PO issuing to the vendor/PO signed both side and waiting for delivery/Status update request email shared to the vendor on August 23, 2019, however the delivery expected on Sep 16, 2019/Item delivered on Sep 19, 2019/ Waiting for IT technical confirmation and payment request from vendor side/Confirmation received on Oct 9, 2019 and waiting for payment request/Waiting for GRN starting from Oct 16, 2019",Completed,Finance
5805,14/03/2019,1544,14/03/2019,5593,24/07/2019,NL259,Boresha,CNLDET0020,Abigel A,MMENGISTU,"Generator with the attached set1.) Detail for Generator Set Capacity ? 20KVA Type = 1500 RPM, tri-phase Starting System = Key Cooling System = Water Temperature ? 400 cWith Control Panel (Ammeter, Voltmeter, Frequency meter, Hour Count, Emergency Push Button, Magnetometer breaker ?e.t.c. Reserve ( Fuel Filter, Oil Filter and Air Cleaner ) Tool Kit Installation and Operation Manual/Finacial",1,,ETB,555000,RACROB BUSINESS PLC,,,,0000-00-00,,,0,"RFQ distributed with date quote closing March 25,2019/Technical proposal opened & under technical review starting March 28,2019/under bid opening for the financial part starting April 04,2019/SBA prepared and shared to all concerned & now waiting for the selection then physical inspection (all related Source Document received on May 08,2019)/SBA prepared & shared acoordingly but the selection report falls under the re-bidding Proccess/hard copy RFQ approved but to be distributed/Awaiting for bid opening starting June 03,2019/under Technical evaluation starting June 10,2019/SBA shared to the respective Field Office as well astechnical person at head office On June 18,2019 & the selection confirmed then the Physical inspection schduled for June 21,2019/waiting for inspection report/Physical inspection report received form technical person on July 11, 2019 and waiting for PO approval/PO approved and under signing by both side/PO prepared on July 12, 2019 and least bidder said the item is out of stock and after getting budget holder and PO approver approval the bid awarded to the next least bidder and under PO signing/Delivered on August 1, 2019 and waiting for installation/Delivery completed and waiting payment request/Document communicated to Finance on August 16, 2019",Completed,Finance
6030,12/07/2019,,12/07/2019,5578,12/07/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,172.89,,ETB,68464,BIRHAN CROSS BORDER LEVEL-2 FREIGHT TRAN,,,,0000-00-00,,,0,"PO signed both side/Under service delivery/Waiting for payment request/Waiting for GRN starting from Sep 25, 2019/Document communicated to Finance on Oct 1, 2019",Completed,Finance
5828,26/07/2019,,26/07/2019,5403,15/04/2019,US1T0,GRAD2,USLMET0023,Siele Wondiyfraw,DGETACHEW,Consultant for midterm evaluation as per the SOW attached. (Million Shibeshi),1,,ETB,353805,MILLION SHIBESHI TADESSE,Fs. No. 00000229,5508,7164,0000-00-00,,,0,1. Under vendor set up and contract preparation Contract under review and will be signed by next week. 2. Contract is ready and PO is also ready for signing/Contract will be signed on 8/5/19/ 3. Waiting for payment request/4. Payment request Submitted 24/7/19and sent for approval/ 5. Waiting GRN 31/7/19/ 6. Document forwarded to finance on 7/8/19,Completed,Finance
6030,12/07/2019,,12/07/2019,5579,12/07/2019,US17Y,Emergency,CRSXET0006,Hirut M,MMENGISTU,EMU Commudity Transpo. WHFO,166.92,,ETB,95567,TENAGNWORK TRANSPORT,Tena/079/2019,,,10/10/2019,,,0,"signed both side/Under service delivery/Waiting for payment request/Document communicated to Finance on Oct 11, 2019",Completed,Finance
5842,04/04/2019,Non-Competitive Justification attached,04/04/2019,5401,15/04/2019,US1T0,GRAD2,USLMET0023,Siele Wondiyfraw,DGETACHEW,Consultant for midterm evaluation as per the SOW attached. (Adam Tekeste),1,,ETB,135000,ADAM TEKESTE TEFERA,,,,0000-00-00,,,0,1. Performa collectted and submitted for opening 11/4/19/2. Document sent for review and Waiting for confirmation to awarding/ 3. Contract sent for signing 22/4/19 and Contract signed both sides/ 4. Waiting for payment request/ 5. Payment request Sumbitted 24/7/19and sent for approvall/ 6. Waiting GRN 31/7/19 7. Document forwarded to finance on 7/8/19.,Completed,Finance
5839,02/04/2019,Non-Competitive Justification attached,02/04/2019,5419,22/04/2019,US1T0,GRAD2,USLMET0023,Siele Wondiyfraw,DGETACHEW,Consultant for midterm evaluation as per the SOW attached. (F and S BD Service plc.),1,,ETB,511738,F AND S BD SERVICE PLC,,,,0000-00-00,,,0,1. Performa collected and submitted for opening 11/4/19/ 2. Document sent for review and Waiting for confirmation to awarding/ 3. Contract sent for signing 22/4/19/Contract signed both sides/ 4. Waiting for payment request/Payment request Submitted 25/7/19and sent for approval/ 5. Waiting GRN 31/7/19/ 6. Document forwarded to finance on 7/8/19.,Completed,Finance
6033,01/01/1970,,01/01/1970,5607,29/07/2019,GB752,STM,CGBRET0055,Abigel A,MMENGISTU,"Hall rent, refreshment and lunch request to conduct a ToT on SAA for selected staff of MoWCYA for 1st session from August 5th - 9th, 2019 for 33 person *5 days = 165 with 800.00 per day at Debrezite. Hall rent, refreshment and lunch request to conduct a ToT on SAA for selected staff of MoWCYA for 2nd session from August 19th - 23rd, 2019 of 33 person *5 days = 165 with 800.00 per day at Debrezite.",10,,ETB,99484.06,,,,,0000-00-00,,,0,"Under PR amendment to prepare RFQ/Amended PR received on July 18, 2019 and under proforma collection with end date July 29, 2019/Purchase order signed both side on July 31, 2019 and confirmation received on the same date/Partially service delivered and waiting for the remaining service/Document communicated to Finance on August 28, 2019",Completed,Finance
6042,01/01/1970,,01/01/1970,5694,27/08/2019,GB752,STM,CGBRET0055,Abigel A,MMENGISTU,"Hall rent, refreshment and lunch request to conduct a SNAP training for selected staff of MoWCYA for from September 3rd - 5th, 2019 (3 days) for 35 person at Adama/Naziret.",4,,ETB,52784.43,ADAMA GERMAN HOTEL,,5614,7828,0000-00-00,,,0,"Under PR amendment to prepare RFQ/Replaced PR requested on July 18, 2019 and pended as per requesting unit communication on the same date/Process started as per the requesting unit confirmation on email dated August 19, 2019 and under proforma collection with end date August 23, 2019/Reservation letter send on August 26, 2019 and confirmation received on the same date/Revised schedule shared to vendor from Sep 4th-6th, 2019 as per requesting demand and under service delivery/ Payment request and attendance sheet received on Sep 16, 2019 and document send for GRN on Sep 16, 2019/ GRN issued and received on Sep 19, 2019/ Document communicated to finance on Sep 20, 2019",Completed,Finance
6057,19/07/2019,,19/07/2019,5706,02/09/2019,GB752,STM,CGBRET0055,Abigel A,MMENGISTU,A consultancy service request for Seize the moment project with a,1,,ETB,484690.5,,EGA/GEN/005/2020,5908,8838,23/01/2020,92584,4741267,142878.33,"Invitation to Bid prepared and reviewed by requesting unit then shared to Reporter Newspaper and Ethiojobs for advertisement on July 25, 2019/The Bid Advertised via Reporters Newspaper and Ethiojobs on July 29, 2019 and closing will be on August 9, 2019/Under technical review by requesting unit starting from August 13, 2019/Financial document opened on August 22, 2019 and under cost realism preparation by requesting unit/Budget realism submitted on Aug 27, 2019 and price comparison shared on the same date, hence under review by requesting unit/Under PO and Contract agreement signing/PO & Contract signed and under service delivery/Payment for 10% inception report is communicated to Finance on November 5, 2019/Second round 30% payment is waiting for GRN starting from January 13, 2020",Completed,Procurement
6059,24/07/2019,,24/07/2019,5705,02/09/2019,GB752,STM,CGBRET0055,Abigel A,MMENGISTU,A consultancy service request with the attached TOR for the review of Gender labelling tool and preparation a proclamation implementation guideline,1,,ETB,750367.57,,2019/010,5724,7943,0000-00-00,,4474429,73731.76,"Invitation to Bid prepared and reviewed by requesting unit then shared to Reporter Newspaper and Ethiojobs for advertisement on July 25, 2019/The Bid Advertised via Reporters Newspaper and Ethiojobs on July 29, 2019 and closing will be on August 9, 2019/Under technical review by requesting unit starting from August 13, 2019/Financial document opened on August 22, 2019 and under cost realism preparation by requesting unit/Under Non-Competitive Procurement Justification approval as per procurement committee recommendation/Under PO and Contract agreement signing/PO & Contract signed and under service delivery/Waiting for GRN to 10% inception report payment starting from November 5, 2019/ Payment for 10% inception report is communicated to Finance on Nov 13, 2019",Completed,Procurement
6077,31/07/2019,,31/07/2019,5650,13/08/2019,US2GQ,Emergency,OCHAET0044,Hirut M,MMENGISTU,Purchase tablet computer,2,,ETB,24900,TOPCOM COMPUTER TRADING,,5588,7801,0000-00-00,,,0,"Under quotation collection with a closing date August 5, 2019/As per IT unit communication on email dated August 8, 2019 the screen size is not according to the given specification and waiting for requesting unit advice regarding the issue/PO signed both side and waiting for delivery for physical inspection/IT confirmed technically and delivered on August 28, 2019/Waiting for GRN starting from Sep 5, 2019/ Waiting for GRN starting from Sep 5, 2019/ GRN issued and received on Sep 9, 2019/ Document communicated to finance on Sep 10, 2019",Completed,Finance
6078,31/07/2019,,31/07/2019,5650,13/08/2019,US28E,Emergency,MCARET0001,Hirut M,MMENGISTU,Purchase tablet computer,1,,ETB,12450,TOPCOM COMPUTER TRADING,,5588,7801,0000-00-00,,,0,"Under quotation collection with a closing date August 5, 2019/PO signed both side and waiting for delivery for physical inspection/IT confirmed technically and delivered on August 28, 2019/Waiting for GRN starting from Sep 5, 2019/ Waiting for GRN starting from Sep 5, 2019/ GRN issued and received on Sep 9, 2019/ Document communicated to finance on Sep 10, 2019",Completed,Finance
